nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;10107;BRED-Banque Populaire;00330;VERNON;9, pl Charles de Gaulle;49.091554,1.484586
Banque Populaire;17807;Banque Populaire Occitane;00654;ALBI UNIVERSITE;83, ave de Gaulle;43.92033,2.139732
Banque Populaire;16607;Banque Populaire du Sud;00275;REMOULINS;351, rue Marc Seguin;43.943618,4.572058
Banque Populaire;16607;Banque Populaire du Sud;00276;ST CHELY D'APCHER;8, ave de la Gare;44.80026,3.273498
Banque Populaire;13807;Banque Populaire Grand Ouest;00626;TALMONT;9 rue du Château;46.466355,-1.61893
Banque Populaire;13807;Banque Populaire Grand Ouest;00684;SAINT LO MANCHE BANQUE PRIVEE;330, rue Alexis de Tocqueville;49.103846,-1.07811
Banque Populaire;10107;BRED-Banque Populaire;00339;BRIE COMTE ROBERT;9, rue Gambetta;48.691462,2.611063
Banque Populaire;17807;Banque Populaire Occitane;00658;RODEZ BOURRAN;210, ave de Bourran;44.359427,2.556924
Banque Populaire;17807;Banque Populaire Occitane;00660;CASTRES JEAN JAURES;7, pl Jean Jaurès;43.605249,2.241933
Banque Populaire;16607;Banque Populaire du Sud;00289;VAUVERT;Ave de la Condamine;43.686818,4.272117
Banque Populaire;16607;Banque Populaire du Sud;00320;FRONTIGNAN LA PEYRADE;Ctre Cial Les Portes du Muscat;43.444083,3.749889
Banque Populaire;16607;Banque Populaire du Sud;00321;MONTPELLIER FONCTION PUBLIQUE;232, ave des Moulins;43.614789,3.833654
Banque Populaire;10107;BRED-Banque Populaire;00341;MEAUX HOTEL DE VILLE;6, quai Victor Hugo;48.958292,2.87941
Banque Populaire;10107;BRED-Banque Populaire;00343;NEMOURS;8-10, pl de la République;48.266489,2.696283
Banque Populaire;16607;Banque Populaire du Sud;00323;PONT ST ESPRIT;19, bd Gambetta;44.256796,4.647528
Banque Populaire;16607;Banque Populaire du Sud;00324;JUVIGNAC;Allée de l'Europe;43.6139,3.804779
Banque Populaire;16607;Banque Populaire du Sud;00325;VILLENEUVE-LES-BEZIERS;ZAE Pôle Méditerranée;43.32352,3.288727
Banque Populaire;16607;Banque Populaire du Sud;00331;SOMMIERES;Route de Saussines;43.781068,4.082575
Banque Populaire;13807;Banque Populaire Grand Ouest;10945;OLONNE SUR MER;57, Avenue François Mitterand;46.51096,-1.77693
Banque Populaire;16607;Banque Populaire du Sud;00335;SAINT AUNES;Rue du Fenouil;43.65115,3.9776
Banque Populaire;13807;Banque Populaire Grand Ouest;00694;QUIMPER BQUE PRIVEE;50, rue du Président Sadate;47.977326,-4.097186
Banque Populaire;10107;BRED-Banque Populaire;00355;OISSEL;Pl de la République;49.340221,1.093812
Banque Populaire;10107;BRED-Banque Populaire;00357;ROUEN ST SEVER;137, rue Saint Sever;49.431283,1.086743
Banque Populaire;17807;Banque Populaire Occitane;00756;LEGUEVIN;2, allée des Cordeliers;43.602922,1.262217
Banque Populaire;17807;Banque Populaire Occitane;00757;GIMONT;49, bd du Nord;43.627946,0.876348
Banque Populaire;13807;Banque Populaire Grand Ouest;10647;ST QUAY PORTRIEUX;2 bd du Général de Gaulle;48.656802,-2.840051
Banque Populaire;10107;BRED-Banque Populaire;00360;FONTAINEBLEAU AVON;37, bd du Général Leclerc;48.412634,2.710353
Banque Populaire;16607;Banque Populaire du Sud;00341;GANGES;24, rue Pasteur;43.932672,3.710627
Banque Populaire;16607;Banque Populaire du Sud;00344;MONTPELLIER PORT MARIANE;Résidence Gallia;43.61491,3.860694
